"GCAM_region_name","GCAM_region_ID","GCAM_commodity","year","est.cp_2005usd_tonne"
"USA","01","Beef",1971,11222.6743426393
"Africa_Eastern","02","Beef",1971,1655.92629477105
"Africa_Northern","03","Beef",1971,2531.73356061115
"Africa_Southern","04","Beef",1971,3314.10277445509
"Africa_Western","05","Beef",1971,2324.72670441698
"Australia_NZ","06","Beef",1971,9825.01265843228
"Brazil","07","Beef",1971,5105.12614633747
"Canada","08","Beef",1971,10253.7894027929
"Central America and Caribbean","09","Beef",1971,3901.94507783382
"Central Asia","10","Beef",1971,3374.16878587379
"China","11","Beef",1971,1627.01035008691
"EU-12","12","Beef",1971,5284.30245501623
"EU-15","13","Beef",1971,13877.2991880917
"Europe_Non_EU","15","Beef",1971,5634.57572141681
"European Free Trade Association","16","Beef",1971,30040.113924913
"India","17","Beef",1971,1457.57952992709
"Indonesia","18","Beef",1971,1557.95081167757
"Japan","19","Beef",1971,24077.0381176415
"Mexico","20","Beef",1971,5780.39558878548
"Middle East","21","Beef",1971,8794.87164973897
"Pakistan","22","Beef",1971,2633.99714991379
"South Africa","24","Beef",1971,5908.10426085965
"South America_Northern","25","Beef",1971,6895.80739395401
"South America_Southern","26","Beef",1971,3800.82865462952
"South Asia","27","Beef",1971,1445.71704352182
"South Korea","28","Beef",1971,7407.71451562782
"Southeast Asia","29","Beef",1971,2266.63346621108
"Argentina","31","Beef",1971,7728.41813892522
"Colombia","32","Beef",1971,3648.14433292859
"HongKong_Macau","33","Beef",1971,8223.05339899024
"USA","01","Corn",1971,1978.29461749825
"Africa_Eastern","02","Corn",1971,442.697786327875
"Africa_Northern","03","Corn",1971,568.963628553317
"Africa_Southern","04","Corn",1971,597.726822989318
"Africa_Western","05","Corn",1971,572.1694082453
"Australia_NZ","06","Corn",1971,1986.53701701456
"Brazil","07","Corn",1971,918.366192264012
"Canada","08","Corn",1971,1889.53757302697
"Central America and Caribbean","09","Corn",1971,940.098738940774
"Central Asia","10","Corn",1971,629.858513205363
"China","11","Corn",1971,324.165786080478
"EU-12","12","Corn",1971,1106.40208845207
"EU-15","13","Corn",1971,1921.93526146665
"Europe_Non_EU","15","Corn",1971,1032.685028904
"European Free Trade Association","16","Corn",1971,2828.89444619645
"India","17","Corn",1971,428.798315610026
"Indonesia","18","Corn",1971,425.224333813122
"Japan","19","Corn",1971,2127.56149542262
"Mexico","20","Corn",1971,1249.03354898282
"Middle East","21","Corn",1971,1777.0840106553
"Pakistan","22","Corn",1971,489.585994302335
"South Africa","24","Corn",1971,1313.81427562189
"South America_Northern","25","Corn",1971,1521.38785513013
"South America_Southern","26","Corn",1971,945.62547904375
"South Asia","27","Corn",1971,421.967576027017
"South Korea","28","Corn",1971,860.181585382428
"Southeast Asia","29","Corn",1971,608.444366783736
"Argentina","31","Corn",1971,1339.71182529047
"Colombia","32","Corn",1971,905.647478993069
"HongKong_Macau","33","Corn",1971,1417.5776591213
"USA","01","Dairy",1971,1067.83999959214
"Africa_Eastern","02","Dairy",1971,458.326929529912
"Africa_Northern","03","Dairy",1971,502.395365824176
"Africa_Southern","04","Dairy",1971,530.541781481984
"Africa_Western","05","Dairy",1971,456.723331750014
"Australia_NZ","06","Dairy",1971,999.165628245332
"Brazil","07","Dairy",1971,819.710779973914
"Canada","08","Dairy",1971,927.682711118476
"Central America and Caribbean","09","Dairy",1971,937.418709803151
"Central Asia","10","Dairy",1971,688.860299497594
"China","11","Dairy",1971,507.096508229392
"EU-12","12","Dairy",1971,671.085210490263
"EU-15","13","Dairy",1971,1207.34657827187
"Europe_Non_EU","15","Dairy",1971,765.904117665721
"European Free Trade Association","16","Dairy",1971,2539.96287184178
"India","17","Dairy",1971,439.176988080636
"Indonesia","18","Dairy",1971,378.219918226647
"Japan","19","Dairy",1971,1771.59863272022
"Mexico","20","Dairy",1971,1278.4263857246
"Middle East","21","Dairy",1971,2678.34473625301
"Pakistan","22","Dairy",1971,420.81455257351
"South Africa","24","Dairy",1971,986.60033600565
"South America_Northern","25","Dairy",1971,1124.05235797173
"South America_Southern","26","Dairy",1971,588.83984315174
"South Asia","27","Dairy",1971,377.69860976752
"South Korea","28","Dairy",1971,1185.24473429431
"Southeast Asia","29","Dairy",1971,414.385798932595
"Argentina","31","Dairy",1971,975.647206267611
"Colombia","32","Dairy",1971,632.036722031718
"HongKong_Macau","33","Dairy",1971,1001.40136647903
"USA","01","MiscCrop",1971,2058.17587548582
"Africa_Eastern","02","MiscCrop",1971,685.473059269593
"Africa_Northern","03","MiscCrop",1971,669.757225921666
"Africa_Southern","04","MiscCrop",1971,633.163259516838
"Africa_Western","05","MiscCrop",1971,711.543551981472
"Australia_NZ","06","MiscCrop",1971,2453.87793151046
"Brazil","07","MiscCrop",1971,1369.49034296674
"Canada","08","MiscCrop",1971,1743.8848682405
"Central America and Caribbean","09","MiscCrop",1971,1218.89586074128
"Central Asia","10","MiscCrop",1971,1025.71708134127
"China","11","MiscCrop",1971,934.485852936932
"EU-12","12","MiscCrop",1971,1169.34524666686
"EU-15","13","MiscCrop",1971,2319.72878117703
"Europe_Non_EU","15","MiscCrop",1971,1238.89845593754
"European Free Trade Association","16","MiscCrop",1971,4516.64770427906
"India","17","MiscCrop",1971,513.146463980797
"Indonesia","18","MiscCrop",1971,600.443122515515
"Japan","19","MiscCrop",1971,2801.21201105732
"Mexico","20","MiscCrop",1971,1473.0074001061
"Middle East","21","MiscCrop",1971,2000.05591898438
"Pakistan","22","MiscCrop",1971,649.65737399512
"South Africa","24","MiscCrop",1971,1542.03126328251
"South America_Northern","25","MiscCrop",1971,1492.83007702206
"South America_Southern","26","MiscCrop",1971,1043.3906611476
"South Asia","27","MiscCrop",1971,524.134353169366
