Country.Name,Country.Code,Indicator.Name,Indicator.Code,X1960,X1961,X1962,X1963,X1964,X1965,X1966,X1967,X1968,X1969,X1970,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015
Afghanistan,AFG,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1088.031929,1126.420358,1090.23547,1167.359685,1193.852799,1321.477595,1335.591449,1576.02987,1662.803526,1712.58872,1899.299559,1876.190879,1844.021503,1820.304303
Albania,ALB,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4303.380042,3048.373638,2846.098236,3138.414898,3419.832714,3898.678519,4279.976313,3840.060601,4212.433044,4811.538621,5165.121207,5627.817296,5883.568147,6246.583271,6630.890219,7046.201148,7475.899041,7977.03381,8643.778047,8993.749193,9373.839505,9640.144593,9792.315861,9913.298591,10122.04075,10397.28739
Algeria,DZA,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10238.88369,9871.476271,9817.484102,9402.024781,9128.16855,9297.273536,9511.447342,9462.964282,9798.323195,9970.652133,10211.10337,10382.04557,10826.33298,11460.91268,11799.8942,12326.81024,12357.53222,12586.5028,12685.28244,12673.18758,12898.29619,13026.19166,13209.23176,13313.55892,13553.90607,13822.56622
American Samoa,ASM,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,ADO,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,AGO,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4806.430166,4606.23337,4152.031782,3024.921808,3031.36471,3245.482953,3506.244904,3679.883481,3823.404538,3835.287004,3831.000021,3863.362439,3473.173569,3528.03564,3775.235422,4310.756005,5028.169446,5957.757227,6555.964814,6492.359387,6492.176815,6524.481181,6636.038799,6857.672603,6955.960047,6937.006266
Antigua and Barbuda,ATG,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17153.72226,17361.14238,17226.3156,17753.49297,18399.76864,17167.17532,17829.57551,18186.27053,18482.7541,18780.13632,19318.71849,18388.09088,18675.60495,19566.32938,20395.48254,21414.22969,24016.31114,26007.82468,25735.71475,22388.95686,20567.35934,19987.92414,20577.29211,20297.30047,21061.86762,21615.30668
Argentina,ARG,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Armenia,ARM,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3735.543092,3329.275304,1972.697648,1841.719068,1988.215207,2169.431028,2332.680564,2437.629356,2636.324746,2740.169615,2918.557686,3214.257186,3653.365148,4181.185327,4634.79778,5296.814128,6021.364007,6881.444652,7388.626636,6362.21471,6507.914402,6803.482997,7267.976528,7473.060679,7698.694581,7899.28441
Aruba,ABW,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36015.07046,NA,NA,NA,NA
Australia,AUS,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28572.07556,28103.04738,27874.88883,28724.24787,29569.45991,30347.64241,31134.36532,32003.30576,33077.14578,34338.77831,35244.50263,35443.36538,36363.74253,37020.73494,38112.43521,38818.84192,39391.33807,40617.00994,41286.81739,41180.54799,41363.21588,41763.11851,42540.96919,42845.49132,43267.60191,43654.58052
Austria,AUT,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31112.93614,31863.99809,32175.02013,32078.89595,32723.2845,33544.93765,34303.10341,35019.78785,36226.70792,37454.29909,38622.92558,38994.9758,39446.1306,39551.26745,40370.18266,40954.41853,42117.81758,43501.88011,44036.89924,42253.07601,42964.59103,44022.39527,44154.00888,44037.87432,43871.71684,43892.72954
Azerbaijan,AZE,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8513.310693,8323.499345,6345.517,4806.132702,3807.507907,3319.767349,3329.134804,3488.410025,3801.002521,4046.607467,4458.998423,4862.619031,5338.076318,5891.137108,6435.448129,8051.674838,10711.18227,13243.21286,14364.99423,15393.89329,15950.25746,15754.15236,15888.218,16593.18876,16715.10552,16695.38942
"Bahamas, The",BHS,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24280.63805,22839.46974,21551.72308,21216.89514,21509.17285,22110.57581,22748.76699,22960.93841,23788.07259,25182.09541,25846.70857,26066.2209,26248.90111,25376.26724,25062.01477,25385.30778,25515.98337,25396.65864,24356.1375,22931.79907,22894.25706,22665.16756,22814.53671,22490.23095,22411.05684,22394.31356
Bahrain,BHR,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35398.38761,38314.45181,39853.76741,43896.02069,42713.13336,43243.71088,43769.05479,43765.82713,44361.80226,44619.72868,45156.14357,44413.62209,44085.58365,44517.73829,44890.88484,44666.55252,43825.70931,43495.1054,42516.71781,40645.95569,40237.60282,39676.71702,40251.1106,41931.50863,43408.23705,44182.03764
Bangladesh,BGD,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1290.431025,1304.31186,1344.598034,1377.48154,1400.556024,1441.027868,1474.342217,1508.28799,1553.738674,1593.752397,1645.717242,1697.018874,1730.346873,1781.344869,1844.815776,1936.705237,2038.686875,2156.483599,2260.574781,2348.433059,2451.305285,2579.335048,2714.774386,2843.235044,2979.16727,3136.561069
Barbados,BRB,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13296.46401,12726.87521,11967.66477,12015.52041,12210.27378,12417.33945,12871.24323,13422.98878,13868.46618,13861.9819,14437.50356,14045.82009,14119.93905,14380.77666,14537.38779,15073.14494,15869.28534,16074.11417,16077.27123,15365.33375,15346.8074,15401.54965,15389.68735,15339.40582,15319.51155,15425.73681
Belarus,BLR,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8083.603326,7982.682781,7200.804945,6638.597827,5868.760006,5275.431478,5441.291874,6087.362592,6630.157764,6878.810813,7299.604275,7703.822704,8144.181596,8778.301323,9850.761926,10851.4558,12009.93119,13102.81483,14487.79666,14548.83833,15703.11169,16603.38953,16906.92189,17084.82426,17348.05508,16621.03344
Belgium,BEL,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30410.99278,30853.58577,31199.01194,30778.44942,31673.89261,32361.39036,32812.78152,33948.06497,34544.84988,35693.79661,36901.24318,37072.9511,37564.25042,37697.0528,38898.5524,39495.32936,40216.37401,41278.47775,41259.63816,39993.81723,40698.04368,40858.72517,40627.50839,40430.48586,40777.77759,41138.38336
